,Marca,Número de modelo,Peso del producto,Dimensiones del producto,Capacidad,Volumen,Potencia,Radio de acción,Eficiencia energética,Consumo anual,Nivel de limpieza en alfombra,Ruido,ASIN,Valoración media de los clientes,Clasificación en los más vendidos de Amazon,Producto en Amazon.es desde,Nombre Aspiradora,Opiniones,Precio,URL,Dimensiones del paquete,Color,Apagado automático,Características especiales,Diámetro,Voltaje,Material,Nivel de limpieza en suelo,Clase de reemisión de polvo,Número de velocidades,Tiempo de funcionamiento,Identificador de producto del fabricante,Número de modelo del producto,Tamaño,Fuente de alimentación,Potencia eléctrica,Número de productos,Número de piezas,Sonido,Componentes incluidos,Incluye baterías,Necesita baterías,Peso,Dispositivos compatibles,Pilas:,Referencia,Efficiency,Efficiency (10 classes),Uso,Forma,Material de la empuñadura,Rendimiento de la herramienta,Edad mínima recomendada (por el fabricante),Peso máximo recomendado por el fabricante,Montaje necesario,¿Mando a distancia incluido?,Restricciones de envío,Salida de vapor,Tipo(s) de material,Método de instalación,Tipo de sujección de accesorio,Estilo,Amperaje,Patrón,Longitud del cable,Sistema de medida,Número de pieza del fabricante
0,AmazonBasics,15KC-71EU4,"4,5 Kg","36,3 x 29,4 x 24,7 cm",1.5 litros,1.5 litros,700 vatios,6 metros,A,23.4 kilowatt_hours_per_year,E,78 dB,B07C3NFCYC,518 opiniones de clientes,"nº358 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 4 en Aspiradoras de trineo",11 de abril de 2018,"AmazonBasics - Aspiradora cilíndrica sin bolsa, 1,5L, 700 W [clase energética A]",3.934 valoraciones,"49,99 €",https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01147902Q6W59R82Z299&url=%2FAmazonBasics-Aspiradora-cil%25C3%25ADndrica-bolsa-energ%25C3%25A9tica%2Fdp%2FB07C3NFCYC%2Fref%3Dsr_1_1_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26keywords%3Daspiradoras%26qid%3D1583696266%26sr%3D8-1-spons%26psc%3D1&qualifier=1583696266&id=1813969936660067&widgetName=sp_atf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSE,S6-EU,"2,69 Kg","34,5 x 14 x 24 cm",1.20 litros,,250 vatios,,,,,,B07XYW7JC5,7 opiniones de clientes,"nº3.023 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 19 en Aspiradoras escoba",3 de octubre de 2019,"INSE Aspiradora Escopa sin Cable, Vertical y de Mano 3 En 1, Motor 250W, 23KPa, Autonomía 45 min, Batería Recargable 2500mah, Aspirador para Pelo Mascoteca, Suelo Duro, Alfombra, Máx Eficiencia A+",49 valoraciones,"199,00 €",https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A058979434EA718RFO2EJ&url=%2FINSE-Aspiradora-Autonom%25C3%25ADa-Recargable-Eficiencia%2Fdp%2FB07XYW7JC5%2Fref%3Dsr_1_2_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26keywords%3Daspiradoras%26qid%3D1583696266%26sr%3D8-2-spons%26psc%3D1&qualifier=1583696266&id=1813969936660067&widgetName=sp_atf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MEIYOU,,"1,96 Kg",,,,600 vatios,,,,,,B07Z6DQYWC,299 opiniones de clientes,"nº454 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 2 en Aspiradoras escoba",15 de octubre de 2019,"Aspiradora Escoba, MEIYOU Aspirador Mano con Cable Succión 18000 PA, Aspiradora con Cable 600W, Aspiradora Escoba Hogar con Lavable Filtro HEPA, Cable de 6M",354 valoraciones,"59,96 €",https://www.amazon.es/Aspiradora-MEIYOU-Aspirador-Succi%C3%B3n-Lavable/dp/B07Z6DQYWC/ref=sr_1_3?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-3,"43,2 x 15,6 x 15 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rowenta,RO2727EA,"4,95 Kg","47 x 28,5 x 30 cm",1.2 litros,1.2 litros,750 vatios,12 metros,,28 kilowatt_hours,,78 dB,B075FWS95S,359 opiniones de clientes,"nº20.559 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 34 en Aspiradoras de trineo",12 de septiembre de 2017,"Rowenta RO2727EA City Space Cyclonic Aspirador sin Bolsa, Tecnología ciclónica, Compacto, 78 dB, 750 W, Marfil y azul",513 valoraciones,"59,99 €",https://www.amazon.es/Rowenta-RO2727-City-Space-Cyclonic/dp/B075FWS95S/ref=sr_1_4?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-4,,"Azul, Marfil",No,"Almacenamiento de cable, Carrying handle, Interruptor de encendido/apagado integrado, Rebobinado automático del cable, Sin bolsa, Soporte para aparcar/guardar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rowenta,RO3753,"6,6 Kg","40,9 x 27,6 x 29 cm",1.5 litros,1.5 litros,750 vatios,6.2 metros,,28 kilowatt_hours,C,79 dB,B01CIALC5G,2.250 opiniones de clientes,"nº87 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 1 en Aspiradoras de trineo",3 de marzo de 2016,"Rowenta Compact Power Cyclonic RO3753EA Aspirador sin Bolsa, Sistema Ciclónico sin Bolsa, Depósito 1.5 L, Cepillo Parquet y Boquilla 2 en 1 para Ranuras, 79 dB, Fácil de Limpiar",5.257 valoraciones,"84,99 €",https://www.amazon.es/Rowenta-Compact-Power-Cyclonic-Aspirador/dp/B01CIALC5G/ref=sr_1_5?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-5,,"Negro, Naranja",No,"Sin bolsa, con_cable, filtro_hepa, Capacidad depósito: 1.5L, Tubo metálico telescópico y ergonómico, 2x ruedas grandes para una mejor movilidad, Posición parking para poder guardarlo en cualquier lugar, Asa ergonómica, Longitud del cable: 6,2 m",6 centímetros,240 voltios,"acero inoxidable, plástico",A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cecotec,Conga EcoExtreme 3000,"4,5 Kg",41 x 27 x 31 cm,3.5 litros,,700 vatios,12 metros,A+++,,,78 dB,B07587LM6H,546 opiniones de clientes,"nº173 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 3 en Aspiradoras de trineo",30 de agosto de 2017,"Cecotec Conga EcoExtreme 3000 - Aspirador Trineo Ultra Silencioso, Máxima Potencia, Mínimo Consumo, Capacidad de 3,5 l, Filtro HEPA, Ligero y Manejable",713 valoraciones,"74,00 €",https://www.amazon.es/Cecotec-EcoExtreme-Aspirador-Cicl%C3%B3nico-Capacidad/dp/B07587LM6H/ref=sr_1_6?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-6,,,No,,,,Acero Inoxidable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kärcher,1.629-800.0,"5,8 Kg","34 x 38,8 x 50,3 cm",17 litros,17 litros,1000 vatios,4 metros,,,D,73 dB,B00JBNZPFM,1.841 opiniones de clientes,"nº893 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 6 en Aspiradoras de trineo
n.° 2 en Aspiradoras en seco y húmedo",27 de marzo de 2014,Kärcher Aspiradores multiuso WD 3 (1.629-800.0),9.231 valoraciones,"68,00 €",https://www.amazon.es/K%C3%A4rcher-WD3-Aspirador-multiuso-aspiraci%C3%B3n/dp/B00JBNZPFM/ref=sr_1_7?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-7,,Negro-amarillo,,función de soplado,,240 voltios,Plástico,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cecotec,05029,6 Kg,40 x 40 x 52 cm,15 litros,15 litros,1400 vatios,7 metros,A,,,,B01M7408A0,794 opiniones de clientes,"nº74 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 1 en Aspiradoras en seco y húmedo",31 de octubre de 2016,"Cecotec Aspirador de Sólidos y Líquidos Conga Wet&Dry. Filtro HEPA y Filtro de Agua, Regulador de Potencia, Función Sopladora, Capacidad 15 l, 1400W",1.034 valoraciones,"52,01 €",https://www.amazon.es/Cecotec-Aspirador-regulador-sopladora-Multicolor/dp/B01M7408A0/ref=sr_1_8?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-8,,Multicolor,No,"Función sopladora, Doble filtrado eficiciente: filtro HEPA y filtro de agua, Depósito de 15 L y sin bolsas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Deenkee,,"3,82 Kg",,600 ml,,1000 vatios,,,,,,B07YWYMQFR,152 opiniones de clientes,"nº1.211 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 6 en Aspiradoras escoba",8 de octubre de 2019,"Deenkee Aspirador Escoba, 17000Pa Aspiradora sin Cable Vertical y de Mano, 2 en 1, con 22.2V extraíble batería Ion-Litio, hasta 35 min",153 valoraciones,"169,99 €",https://www.amazon.es/Deenkee-Aspirador-Aspiradora-extra%C3%ADble-Ion-Litio/dp/B07YWYMQFR/ref=sr_1_9?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-9,"72,6 x 30,4 x 14 cm",Azul,,"✔ Motor digital sin escobillas de 200 W, ✔17,000Pa de potencia de succión fuerte, ✔0.3s botas rápidamente, ✔ 2 tipos de rodillo de cepillo para pisos duros y alfombras, ✔ Dos niveles de succión ajustables, ✔ Fácil vaciado, ✔ Diseño de soporte de montaje en pared,, ✔ sistema de filtro de 4 etapas, ✔ Filtro Hepa lavable Boquilla, ✔ Batería extraíble duradera, ✔ Diseño ligero e inalámbrico, ✔ funcionamiento silencioso de 70 dB, ✔ Deenkee servicio al cliente: support@deenkee.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Holife,,"2,16 Kg","14 x 15,5 x 64 cm",0.8 litros,0.8 litros,600 vatios,,,,,84 dB,B083BP3BR2,36 opiniones de clientes,"nº1.693 en Hogar y cocina (Ver el Top 100 en Hogar y cocina)
n.° 9 en Aspiradoras escoba",30 de diciembre de 2019,"Holife Aspiradora Escoba de 15Kpa, Aspirador Vertical 2 en 1, 800ml, con 2 Filtros HEPA Lavables y 3 Cepillos, Vertical y Portátil Ajustable [Clase de eficiencia energética A+] (Blanco1)",37 valoraciones,"41,98 €",https://www.amazon.es/Holife-Aspiradora-Aspirador-eficiencia-energ%C3%A9tica/dp/B083BP3BR2/ref=sr_1_10?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=aspiradoras&qid=1583696266&sr=8-10,,Blanco1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
